track,hf,onset,n,start,peak_when,peak_lat,peak_lon,min_p,peak_depth,peak_scale_km,peak_grad,peak_vg_kt,max_wind_kt,max_gust_kt,peak_wind_dist_km,pre_depth,pre_scale_km,pre_grad,pre_vg_kt,pre_p,pre_lat,deepen24,month,season
157,0,,5,2020-11-22 18,2020-11-23 18,46.5,168.75,984.2,18.4,500.0,3.89,34.1,40.4,57.3,395.0,8.8,400.0,2.166,21.8,1004.5,41.0,-20.299999999999955,11,2020
159,0,,5,2020-11-23 00,2020-11-24 00,56.25,171.25,967.9,22.2,790.0,3.792,33.9,39.8,60.8,270.0,22.3,600.0,4.052,34.3,978.4,54.75,-10.5,11,2020
163,0,,5,2020-11-25 12,2020-11-26 12,45.5,167.25,991.8,18.7,280.0,6.378,41.2,47.2,65.2,59.0,6.2,270.0,2.231,21.0,1015.2,37.25,-23.40000000000009,11,2020
165,0,,9,2020-11-26 18,2020-11-27 06,54.5,175.5,967.3,28.8,370.0,7.67,48.7,49.9,74.0,85.0,nan,nan,nan,nan,nan,nan,nan,11,2020
166,0,,4,2020-11-26 18,2020-11-27 12,50.5,230.0,1008.1,8.2,300.0,2.708,22.2,32.3,48.6,195.0,nan,nan,nan,nan,nan,nan,nan,11,2020
167,0,,3,2020-11-26 18,2020-11-27 00,37.5,212.25,1015.7,7.1,340.0,1.981,20.4,34.5,47.2,157.0,nan,nan,nan,nan,nan,nan,nan,11,2020
168,0,,3,2020-11-27 00,2020-11-27 12,57.25,213.0,987.8,18.9,260.0,7.063,40.7,37.0,50.9,167.0,nan,nan,nan,nan,nan,nan,nan,11,2020
169,1,2020-11-27 12,9,2020-11-27 06,2020-11-28 00,54.25,195.5,965.0,32.6,530.0,6.665,48.9,46.6,69.4,225.0,nan,nan,nan,nan,nan,nan,nan,11,2020
170,1,2020-11-29 00,14,2020-11-27 18,2020-11-30 06,48.5,186.75,960.8,31.4,790.0,5.132,46.1,53.0,92.3,476.0,44.0,570.0,8.278,61.0,961.3,47.0,-0.5,11,2020
171,0,,3,2020-11-28 00,2020-11-28 00,55.5,155.0,1000.9,9.9,810.0,1.586,16.0,24.8,32.8,310.0,nan,nan,nan,nan,nan,nan,nan,11,2020
173,0,,8,2020-11-29 12,2020-12-01 06,51.75,154.5,999.0,10.5,680.0,1.869,18.9,30.0,40.7,174.0,8.1,870.0,1.249,13.2,1006.1,53.75,-7.100000000000023,12,2020
175,0,,11,2020-11-30 18,2020-12-02 06,51.5,170.25,987.5,12.9,710.0,2.175,21.7,33.5,47.6,353.0,9.9,630.0,1.798,17.9,993.9,52.5,-6.399999999999977,12,2020
177,0,,3,2020-12-01 12,2020-12-01 12,52.0,201.75,970.2,18.1,890.0,2.937,28.9,28.6,41.6,494.0,nan,nan,nan,nan,nan,nan,nan,12,2020
