track,hf,onset,n,start,peak_when,peak_lat,peak_lon,min_p,peak_depth,peak_scale_km,peak_grad,peak_vg_kt,max_wind_kt,max_gust_kt,peak_wind_dist_km,pre_depth,pre_scale_km,pre_grad,pre_vg_kt,pre_p,pre_lat,deepen24,month,season
159,0,,5,2021-01-16 06,2021-01-17 06,49.25,160.5,980.3,30.7,680.0,5.292,45.3,39.5,65.6,236.0,20.4,420.0,4.952,39.1,995.3,45.75,-15.0,1,2020
160,0,,6,2021-01-16 12,2021-01-16 18,54.75,202.0,971.9,26.7,730.0,4.509,38.9,36.7,51.5,477.0,nan,nan,nan,nan,nan,nan,nan,1,2020
161,0,,3,2021-01-16 12,2021-01-17 00,57.25,154.0,998.6,16.5,340.0,4.796,33.6,35.1,50.5,167.0,nan,nan,nan,nan,nan,nan,nan,1,2020
163,0,,14,2021-01-17 12,2021-01-18 06,53.5,162.0,968.0,37.6,640.0,6.598,51.2,41.3,60.6,197.0,nan,nan,nan,nan,nan,nan,nan,1,2020
166,0,,3,2021-01-18 06,2021-01-18 12,53.25,207.0,965.0,47.2,530.0,9.242,62.2,48.2,74.3,354.0,nan,nan,nan,nan,nan,nan,nan,1,2020
167,1,2021-01-19 00,9,2021-01-18 06,2021-01-18 18,41.25,180.25,975.2,35.0,280.0,12.076,63.2,52.1,79.5,169.0,nan,nan,nan,nan,nan,nan,nan,1,2020
168,0,,4,2021-01-19 00,2021-01-19 00,56.0,151.25,983.9,24.5,450.0,5.549,40.5,41.9,62.4,227.0,nan,nan,nan,nan,nan,nan,nan,1,2020
169,1,2021-01-19 18,9,2021-01-19 00,2021-01-20 18,52.5,185.25,969.6,28.5,520.0,5.736,44.0,56.1,78.3,220.0,26.5,330.0,7.904,50.8,974.2,43.0,-4.600000000000023,1,2020
170,1,2021-01-19 18,14,2021-01-19 06,2021-01-20 18,43.75,169.0,969.1,31.0,380.0,8.165,54.3,60.3,88.3,195.0,24.9,320.0,7.491,48.7,982.4,42.5,-13.299999999999955,1,2020
172,0,,3,2021-01-22 18,2021-01-23 00,56.5,188.25,986.4,20.9,590.0,3.837,32.3,32.0,44.4,495.0,nan,nan,nan,nan,nan,nan,nan,1,2020
173,1,2021-01-23 06,13,2021-01-23 00,2021-01-24 06,52.0,171.75,974.7,38.4,520.0,7.727,54.9,46.5,65.8,271.0,26.0,320.0,7.786,49.0,984.1,46.0,-9.399999999999977,1,2020
175,1,2021-01-25 12,8,2021-01-24 00,2021-01-25 18,37.0,168.0,971.3,37.6,490.0,7.815,60.1,53.8,78.0,87.0,23.4,520.0,4.645,44.6,990.3,33.0,-19.0,1,2020
177,0,,3,2021-01-25 12,2021-01-25 18,55.0,206.25,989.6,26.9,540.0,5.287,41.1,45.4,64.9,234.0,nan,nan,nan,nan,nan,nan,nan,1,2020
179,0,,10,2021-01-26 00,2021-01-26 18,51.0,173.0,940.8,66.0,540.0,12.934,79.7,58.1,84.3,180.0,nan,nan,nan,nan,nan,nan,nan,1,2020
180,0,,5,2021-01-26 06,2021-01-26 18,48.75,227.75,984.8,24.3,790.0,4.074,38.3,38.8,55.6,348.0,nan,nan,nan,nan,nan,nan,nan,1,2020
184,0,,13,2021-01-28 12,2021-01-31 06,50.25,163.25,967.1,26.9,740.0,4.643,41.4,48.0,66.2,469.0,31.7,540.0,6.288,50.0,969.0,45.5,-1.8999999999999773,1,2020
185,0,,9,2021-01-28 18,2021-01-29 18,57.5,212.5,978.4,23.1,680.0,4.144,35.1,37.9,54.7,448.0,17.9,460.0,3.98,31.4,988.6,57.25,-10.200000000000045,1,2020
189,0,,6,2021-01-30 12,2021-01-30 12,48.75,222.0,989.9,16.3,810.0,2.777,28.0,32.5,44.3,409.0,nan,nan,nan,nan,nan,nan,nan,1,2020
190,0,,6,2021-01-31 18,2021-02-01 00,57.0,167.0,961.4,35.0,790.0,5.757,47.3,46.2,65.5,398.0,nan,nan,nan,nan,nan,nan,nan,2,2020
191,0,,6,2021-02-01 18,2021-02-02 18,51.25,154.5,963.4,32.3,500.0,6.843,50.0,42.6,60.5,279.0,15.3,550.0,2.973,27.9,992.8,47.75,-29.399999999999977,2,2020
193,0,,5,2021-02-02 06,2021-02-02 06,56.25,223.25,996.9,21.0,620.0,3.629,31.3,35.0,48.9,195.0,nan,nan,nan,nan,nan,nan,nan,2,2020
196,0,,11,2021-02-03 18,2021-02-03 18,56.75,154.5,958.2,39.9,610.0,7.234,53.1,47.3,61.7,364.0,nan,nan,nan,nan,nan,nan,nan,2,2020
197,0,,7,2021-02-04 06,2021-02-05 06,32.75,199.25,996.8,21.1,430.0,4.87,43.5,43.1,54.7,130.0,15.8,630.0,2.81,33.3,1000.3,31.5,-3.5,2,2020
199,1,2021-02-05 00,5,2021-02-04 18,2021-02-05 06,44.75,161.25,971.9,33.0,220.0,14.402,63.0,55.8,85.4,81.0,nan,nan,nan,nan,nan,nan,nan,2,2020
201,0,,5,2021-02-05 12,2021-02-06 12,49.0,168.0,973.4,37.0,570.0,6.964,53.2,46.4,68.1,235.0,17.8,490.0,3.862,34.0,991.6,45.5,-18.200000000000045,2,2020
203,0,,9,2021-02-06 18,2021-02-06 18,51.0,170.25,974.6,35.0,620.0,6.233,49.5,47.1,64.2,421.0,nan,nan,nan,nan,nan,nan,nan,2,2020
204,0,,10,2021-02-07 00,2021-02-08 00,44.25,206.25,996.3,20.9,440.0,4.779,39.1,34.4,48.8,119.0,16.6,300.0,5.321,39.4,1001.4,37.25,-5.100000000000023,2,2020
206,0,,6,2021-02-08 06,2021-02-09 06,51.5,163.25,970.5,31.0,520.0,6.317,47.6,42.8,60.8,263.0,16.0,200.0,7.877,42.0,983.5,44.5,-13.0,2,2020
208,1,2021-02-09 18,18,2021-02-09 12,2021-02-10 18,46.75,178.0,947.0,42.7,660.0,7.453,59.2,50.1,76.5,479.0,28.4,330.0,8.407,53.4,968.9,41.5,-21.899999999999977,2,2020
209,0,,5,2021-02-09 18,2021-02-09 18,54.0,153.25,974.9,30.9,720.0,5.057,42.7,43.5,62.7,479.0,nan,nan,nan,nan,nan,nan,nan,2,2020
212,0,,3,2021-02-11 12,2021-02-11 18,53.5,199.25,973.4,24.1,690.0,4.151,36.3,41.7,60.1,475.0,nan,nan,nan,nan,nan,nan,nan,2,2020
