track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu,depth_pw
1542,2022-12-23 18,35.75,181.75,24.0,1,1,15.3,490.0,3.23,32.8,55.7,983.8,1010.0029757298907,26.20951869864075,983.4571890129993,-0.3362680182507347,152.37060546875,-92.25643266372842,5625.28564453125,1028.770987817225,358.7434511143289,-310.6123046875,3.4516258239746094,17.804010009765648,-452.82086181640625,-385.3584289550781,15.28
1540,2022-12-23 18,45.25,154.5,nan,0,0,17.2,690.0,2.964,29.9,42.4,977.4,1024.5715839439,47.147572713431146,989.1902862391069,11.766275008638104,-27.68115234375,-8.029449809975642,5298.95654296875,1689.1932338405431,233.01090839544253,-432.673828125,9.772002220153809,3.6742187500000227,-184.34986877441406,-288.4807434082031,13.17
1558,2022-12-27 12,55.0,182.5,nan,0,0,16.0,640.0,2.837,25.9,42.9,967.5,1012.5698927373646,45.051704260802126,974.3623328894143,6.844144412851847,-3.97705078125,46.02106352353164,5225.890625,436.06925708182496,219.09615795608553,-462.1650390625,2.723200798034668,4.353723144531273,45.206966400146484,23.89361572265625,14.29
1563,2022-12-31 00,53.25,201.75,nan,0,0,10.4,790.0,1.767,18.0,38.3,975.2,1000.0275415237194,24.83454835965688,988.1316797304364,12.938686566373917,58.6875,78.82306038518325,5281.85546875,1967.7030763122339,230.7775528896299,-444.54248046875,9.708891868591309,5.326074218750023,23.526443481445312,-112.62724304199219,11.54
1578,2023-01-03 06,35.5,203.0,12.0,1,1,17.5,290.0,5.755,41.5,67.5,993.5,1020.7477547734826,27.297315320357598,996.9710800271794,3.5206405740543687,78.734375,44.23696047802361,5552.6796875,1946.012715894716,359.33366742440336,-226.6884765625,3.41139554977417,16.129296875000023,-220.05947875976562,-519.251953125,17.65
1579,2023-01-03 06,51.25,218.0,nan,0,0,17.8,330.0,5.236,36.6,48.1,978.0,1006.76792690001,28.741071431260025,997.701387371004,19.67453190225399,89.71875,124.03015242321791,5336.60888671875,1023.6378667163541,280.73310445542035,-227.62255859375,1.8944733142852783,7.737207031250023,47.79533767700195,-135.60498046875,17.65
1582,2023-01-05 00,50.25,147.5,nan,0,0,17.6,450.0,3.953,32.6,47.4,991.6,1032.3121800855208,40.75840811286457,980.528238785229,-11.0255331874273,-191.20947265625,-202.4821676698235,5064.27685546875,283.31656897663674,190.8592250403331,-378.7158203125,6.925412178039551,0.41271362304689774,66.365234375,-42.85084533691406,19.59
1580,2023-01-05 00,54.75,172.75,nan,0,0,19.9,660.0,3.397,30.3,46.6,978.3,1016.5961873009093,38.336665816534264,984.6115724855728,6.352051001197765,-38.6611328125,-40.60157504048586,5151.8720703125,1527.1795314744024,217.08145457801584,-429.1845703125,2.078664779663086,3.9186340332031477,266.19561767578125,-69.63118743896484,18.05
1590,2023-01-05 00,48.75,199.75,nan,0,0,11.9,460.0,2.632,24.2,39.5,983.8,1003.5878842055752,19.763299244637665,966.1612709803514,-17.663313980586054,-20.00732421875,32.029830057041124,5256.50244140625,1995.8236233147873,271.57956188067766,-367.8408203125,2.027726888656616,7.074578857421898,-22.012475967407227,-205.96421813964844,10.91
1592,2023-01-07 06,50.0,224.5,nan,0,0,23.4,580.0,4.372,37.5,59.0,977.8,1007.0966171468665,29.272886678116492,1005.0807371315009,27.257006662750882,146.60986328125,101.46092408451588,5402.27099609375,1436.173937729494,220.22364531637118,-233.49951171875,2.5307140350341797,7.935418701171898,59.137229919433594,-8.317070007324219,20.15
1597,2023-01-10 00,55.25,204.0,nan,0,0,21.5,420.0,5.079,37.4,40.8,974.5,1002.0878269341787,27.55157205136618,978.724397483347,4.1881426005345475,145.99853515625,158.5608040795541,5322.45263671875,1907.1566891918903,210.11359191778786,-392.619140625,9.084259986877441,4.654687500000023,65.1847152709961,-4.4565558433532715,18.76
1617,2023-01-14 00,51.75,220.25,nan,0,0,11.3,890.0,1.827,19.1,27.9,984.3,1005.6176749544651,21.289794095090087,993.8759790142054,9.548098154830427,152.50830078125,193.30263937674619,5377.5380859375,1996.3588194593292,260.98560612017013,-250.72216796875,2.7710001468658447,7.166070556640648,-11.80841064453125,-39.230316162109375,8.74
1628,2023-01-16 12,38.0,155.25,24.0,1,1,22.8,480.0,4.82,42.5,56.2,990.2,1026.1198011934414,35.87065568562889,1008.436480702405,18.187335194592492,147.7265625,86.99922204668987,5578.919921875,1999.5295467415167,326.0349212318485,-403.40625,10.031266212463379,15.988275146484398,-321.3180847167969,-455.77740478515625,18.98
1639,2023-01-18 12,35.75,149.0,18.0,1,1,15.2,420.0,3.577,33.8,54.8,1002.5,1026.5850127895703,24.071157809101578,1013.5933979245143,11.079542944045556,44.57568359375,-37.807791584041496,5505.29296875,1904.9317213209647,351.8495839279191,-340.7783203125,10.84247875213623,18.146661376953148,-296.5201416015625,-639.6575317382812,14.38
1630,2023-01-18 12,57.0,150.5,nan,0,0,15.6,330.0,4.691,32.8,46.1,1003.7,1038.7947778357209,35.09146973025213,986.3882162991515,-17.31509180631724,-224.4638671875,-82.97568242903833,4953.1982421875,1155.4056174591483,272.7303870386821,-387.55810546875,4.234523773193359,-0.8202575683593523,160.00021362304688,-37.256996154785156,24.99
1642,2023-01-20 00,43.25,209.0,12.0,1,1,20.5,420.0,4.85,39.3,57.9,988.9,1015.5917765197971,26.737162261984622,1009.0812989412269,20.22668468341442,177.19677734375,137.22571343400963,5503.3876953125,1987.2079836944858,298.9055184224762,-243.09033203125,2.1746506690979004,10.630181884765648,-256.744384765625,-317.8887939453125,18.45
