track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu
330,2021-01-13 00,41.0,154.0,18.0,1,1,23.4,440.0,5.396,43.7,56.7,990.9,1019.9859982981702,29.050451423170216,1011.2610426015549,20.32549572655489,100.9140625,-96.57627211820878,5496.287109375,1996.1840409556894,283.2048786786394,-330.82421875,17.806800842285156,10.220605468750023,-154.8330841064453,-662.7257080078125
315,2021-01-13 00,57.25,204.5,nan,0,0,15.1,1030.0,2.429,23.7,31.8,973.4,1011.4069579217914,38.004919347572695,981.4869840036654,8.084945429446634,74.85400390625,73.81200406225142,5218.1875,1996.0332937025883,197.89889147346076,-413.9853515625,9.302485466003418,5.655206298828148,25.36847686767578,-56.420631408691406
342,2021-01-17 06,49.25,160.5,nan,0,0,30.7,680.0,5.292,45.3,65.6,980.3,1018.7132532452248,38.44640754209979,1007.2374332259062,26.970587522781216,61.8515625,-135.17921752797815,5316.712890625,1997.8721123081032,270.79071269619806,-400.39697265625,3.9346258640289307,1.8731323242187727,-91.63407897949219,-279.8307800292969
352,2021-01-18 18,41.5,144.75,24.0,1,1,12.8,710.0,2.059,23.3,40.9,1000.4,1035.4942495425266,35.08445950346413,997.0170085487973,-3.392781490265179,-175.28857421875,-61.33670430302827,5179.33154296875,750.3188616334784,305.45476773144986,-428.08056640625,14.979351997375488,5.087640380859398,-224.70162963867188,-657.0595703125
348,2021-01-18 18,41.25,180.25,6.0,1,1,35.0,280.0,12.076,63.2,79.5,975.2,1013.7409479351859,38.565166685185886,1003.944324544213,28.768543294213032,229.03076171875,-58.67703002515002,5588.33203125,1780.9111631669916,312.8310992980077,-338.59765625,7.55933141708374,10.734338378906273,201.4854278564453,-424.7696533203125
362,2021-01-22 12,51.25,162.5,nan,0,0,11.5,670.0,2.089,20.8,36.1,993.1,1027.4411982066244,34.3427484995932,987.1417102127596,-5.956739494271687,-123.03173828125,-27.234655825694283,5097.01220703125,721.3335997097977,249.27394492913083,-313.3125,4.644414901733398,1.8621154785156477,2.9541685581207275,-163.76678466796875
366,2021-01-24 18,33.0,157.75,18.0,1,1,23.4,520.0,4.645,44.6,61.3,990.3,1027.9848681452745,37.679875469493254,1006.1956733922327,15.89068071645147,134.6923828125,3.5767175136365466,5669.54345703125,1996.4295130651776,341.8314344399452,-237.67041015625,5.396582126617432,17.995599365234398,85.35234069824219,-447.2496643066406
385,2021-01-28 12,36.0,149.0,nan,0,0,16.0,420.0,3.782,35.1,58.9,997.4,1024.0557925853668,26.660223737710567,1014.0622049316507,16.66663608399449,112.02099609375,24.923945204266623,5581.1181640625,1601.6028663744873,282.7524749131735,-462.755859375,13.195733070373535,18.566278076171898,-186.87149047851562,-496.31964111328125
394,2021-02-02 00,48.75,148.0,nan,0,0,18.8,540.0,3.824,33.6,44.6,984.8,1028.7190029040748,43.90168112673109,981.0406587186725,-3.776663058671261,-92.353515625,-163.41733584497533,5188.39501953125,1291.305583795374,273.66672910087095,-500.67578125,5.765437126159668,-0.37061157226560226,-433.7004089355469,-365.8036193847656
406,2021-02-04 12,40.0,149.25,12.0,1,1,12.9,270.0,4.585,33.8,62.9,997.9,1026.4431749766409,28.586912769609626,1006.17270648047,8.31644427343872,-193.3837890625,-73.93704134259164,5231.97119140625,1068.762223417598,337.98645564761756,-501.50732421875,14.294029235839844,10.669458007812523,-463.86163330078125,-512.5885009765625
408,2021-02-04 12,49.75,187.5,nan,0,0,9.6,270.0,3.412,25.7,39.5,1001.1,1013.576631963761,12.461885870010974,1012.4307000716302,11.315953977880213,29.46630859375,217.53722249893218,5322.10986328125,1772.543928902484,273.54252451774073,-447.78955078125,1.8760960102081299,3.3834472656250227,-332.4158020019531,-313.516845703125
424,2021-02-09 00,36.25,160.25,18.0,1,1,9.0,490.0,1.846,21.3,49.1,997.7,1021.8625255403026,24.196876126240113,1000.6330949105484,2.9674454964858796,-83.64111328125,45.86118542257933,5399.0029296875,933.8775009089727,299.67166505888076,-445.78857421875,7.99183464050293,16.247216796875023,-627.4105224609375,-618.1862182617188
425,2021-02-09 00,55.25,226.0,nan,0,0,12.7,350.0,3.558,27.4,51.4,1017.6,1028.1232221717976,10.562064945235079,1012.2452578942759,-5.315899332286563,50.12109375,-269.8402796941976,5206.68212890625,1237.361129651613,349.7204228294936,-111.9248046875,7.028696060180664,6.201806640625023,-40.2766227722168,-356.8916931152344
428,2021-02-09 00,30.25,204.75,nan,0,0,8.6,540.0,1.668,22.0,39.7,1006.5,1024.3069762182242,17.841339011192986,1011.9176473002628,5.452010093231593,-43.486328125,13.436474149506878,5543.12109375,388.1810838645158,248.89959858469393,-196.892578125,3.5779526233673096,20.488671875000023,-125.90966033935547,-263.18548583984375
436,2021-02-11 12,34.0,160.0,nan,0,0,12.8,420.0,2.972,30.2,52.3,997.2,1026.5937200569017,29.360077478776702,977.06221960358,-20.171422974544953,-128.23291015625,-159.60626065659244,5401.36865234375,706.7596441138923,317.50082498967026,-337.7568359375,5.670155048370361,15.910760498046898,-195.12393188476562,-653.4676513671875
445,2021-02-16 06,53.75,187.5,nan,0,0,23.3,790.0,3.778,34.4,38.0,982.6,1019.0963968671917,36.50173133984799,998.9796878489446,16.3850223216009,46.15185546875,89.5862332236901,5226.94677734375,1974.093297744609,180.9542651985241,-237.923828125,3.7560813426971436,3.1864868164062727,68.69816589355469,-45.46541976928711
470,2021-02-22 18,54.75,154.0,nan,0,0,7.5,480.0,1.637,15.6,37.8,1002.4,1032.8650687655295,30.433183999904486,986.7427567956414,-15.689127969983588,-14.0908203125,-56.15090012697522,5165.73291015625,1745.8775425030053,223.62023104528902,-353.03759765625,4.18648624420166,0.24135742187502274,84.56275939941406,-45.51377868652344
474,2021-02-24 18,56.25,211.5,18.0,1,1,28.3,520.0,5.745,43.1,53.1,986.0,1026.6474093607767,40.65613738812044,1004.0250263977216,18.033754425065354,219.67822265625,88.88433646396182,5393.62939453125,1994.7334724027967,261.8059502077023,-158.85693359375,9.013975143432617,4.020867919921898,147.15760803222656,-464.35333251953125
