track,hf,when,lat,lon,p_centre,p_env,depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_dist_km
377,0,2021-11-14 18,57.75,215.5,998.2,1015.5,17.3,470.0,0.9,3.705,29.8,40.9,30.0,36.3,59.0
377,0,2021-11-15 00,56.25,216.5,998.4,1015.6,17.2,520.0,1.08,3.344,28.3,37.5,31.8,48.1,64.0
377,0,2021-11-15 06,55.25,220.25,998.1,1014.1,16.0,520.0,1.04,3.234,27.7,36.7,31.0,44.7,128.0
380,0,2021-11-15 18,52.5,160.75,987.1,1005.9,18.8,430.0,1.8,4.486,34.9,52.8,31.3,43.9,102.0
380,0,2021-11-16 00,54.0,161.0,981.6,1006.6,25.0,460.0,2.5,5.551,41.2,64.0,33.2,44.8,390.0
380,0,2021-11-16 06,55.0,161.75,980.0,1006.9,26.9,540.0,2.4,5.259,41.0,59.9,31.5,44.7,112.0
381,0,2021-11-16 06,55.25,202.5,999.8,1017.3,17.4,640.0,1.16,3.071,27.6,34.9,25.7,35.2,255.0
380,0,2021-11-16 12,55.5,162.25,984.4,1008.1,23.7,660.0,2.0,4.098,35.1,46.4,32.6,46.7,467.0
381,0,2021-11-16 12,55.5,204.0,999.7,1018.8,19.2,620.0,1.42,3.444,30.1,39.0,28.4,39.2,189.0
382,0,2021-11-16 18,58.0,152.0,983.6,1008.9,25.3,630.0,1.68,4.507,36.9,49.6,33.4,48.1,398.0
380,0,2021-11-16 18,55.75,163.5,987.8,1008.0,20.2,720.0,1.76,3.388,30.5,38.3,33.2,46.1,381.0
381,0,2021-11-16 18,56.5,209.75,1000.4,1020.3,20.0,770.0,0.56,3.218,29.3,36.0,28.9,40.0,356.0
382,0,2021-11-17 00,57.75,150.5,985.1,1010.3,25.2,620.0,1.75,4.544,37.1,50.1,31.7,44.3,477.0
382,0,2021-11-17 06,57.75,149.0,988.0,1010.8,22.8,600.0,1.33,4.201,34.6,46.4,33.7,45.7,437.0
383,0,2021-11-17 06,39.0,215.25,1005.5,1022.1,16.6,390.0,0.85,4.133,35.6,61.3,33.0,47.5,111.0
382,0,2021-11-17 12,57.5,148.5,990.3,1012.7,22.4,560.0,0.96,4.259,34.5,47.1,26.3,38.5,447.0
383,0,2021-11-17 12,41.0,217.25,1001.9,1020.5,18.6,320.0,1.07,5.597,40.6,79.6,37.3,51.5,63.0
382,0,2021-11-17 18,57.0,148.0,991.8,1013.1,21.3,480.0,0.88,4.485,34.9,49.9,28.3,36.4,178.0
383,0,2021-11-17 18,42.0,219.25,1000.0,1020.3,20.3,340.0,0.97,5.765,41.9,80.4,41.3,62.6,69.0
382,0,2021-11-18 00,57.25,148.0,995.5,1014.4,18.9,420.0,0.84,4.478,33.7,49.7,26.8,36.9,124.0
383,0,2021-11-18 00,42.5,221.75,998.1,1018.2,20.1,390.0,0.63,5.104,40.1,70.5,41.0,58.3,82.0
384,0,2021-11-18 06,52.5,173.5,996.7,1013.0,16.3,660.0,1.11,2.832,26.6,33.3,26.3,34.8,441.0
383,0,2021-11-18 06,43.0,224.25,997.9,1018.7,20.8,400.0,0.88,5.198,40.8,71.1,39.6,58.4,196.0
382,0,2021-11-18 06,57.5,147.0,999.3,1015.1,15.8,370.0,0.55,4.252,31.3,47.1,27.0,35.9,151.0
384,0,2021-11-18 12,53.5,173.25,994.5,1015.0,20.6,660.0,1.06,3.502,31.4,40.7,29.4,41.0,195.0
383,0,2021-11-18 12,43.5,227.25,998.5,1019.0,20.5,430.0,0.87,4.715,38.7,63.9,40.1,57.7,145.0
384,0,2021-11-18 18,53.25,172.5,993.0,1015.2,22.2,620.0,1.13,3.901,33.9,45.4,32.7,45.3,185.0
383,0,2021-11-18 18,44.0,230.25,1001.6,1020.5,18.9,460.0,0.58,4.086,35.4,54.9,34.7,50.8,123.0
384,0,2021-11-19 00,52.0,173.0,993.6,1015.1,21.5,580.0,1.14,3.971,34.2,47.0,36.4,49.8,486.0
383,0,2021-11-19 00,46.25,233.5,1002.7,1018.0,15.3,350.0,0.75,4.265,33.3,55.1,33.1,46.7,288.0
384,0,2021-11-19 06,51.0,175.0,994.0,1014.3,20.3,590.0,1.11,3.704,32.8,44.5,35.3,52.6,285.0
386,0,2021-11-19 12,51.5,185.75,991.1,1011.9,20.8,640.0,1.81,3.678,33.0,43.9,33.4,44.6,420.0
387,0,2021-11-19 12,39.75,196.0,994.7,1011.0,16.3,410.0,1.51,3.975,34.9,58.0,33.6,44.5,239.0
386,0,2021-11-19 18,52.5,185.5,987.7,1012.9,25.2,580.0,1.7,4.71,39.0,55.4,38.5,51.0,282.0
388,0,2021-11-19 18,47.0,150.75,993.6,1016.5,22.9,600.0,1.15,4.093,36.8,52.2,43.4,61.0,409.0
387,0,2021-11-19 18,41.75,199.75,994.7,1011.8,17.2,520.0,1.31,3.455,32.9,48.4,33.4,47.0,167.0
388,0,2021-11-20 00,48.75,152.5,983.7,1017.4,33.7,490.0,2.61,7.021,51.4,87.2,38.1,54.2,498.0
386,0,2021-11-20 00,53.0,183.75,986.3,1014.1,27.7,530.0,1.97,5.47,42.6,63.9,37.5,51.4,197.0
387,0,2021-11-20 00,46.0,204.5,991.1,1011.9,20.8,620.0,0.8,3.683,34.5,47.8,33.7,47.7,77.0
388,0,2021-11-20 06,49.0,154.5,980.3,1016.2,35.9,500.0,2.27,7.369,53.4,91.1,39.5,61.5,100.0
387,0,2021-11-20 06,50.0,206.75,985.3,1012.1,26.8,620.0,0.76,4.764,40.7,58.0,36.6,57.0,491.0
386,0,2021-11-20 06,51.75,183.5,988.6,1013.8,25.2,530.0,1.45,4.925,39.7,58.5,37.0,52.6,165.0
387,0,2021-11-20 12,52.75,208.25,978.9,1012.0,33.1,590.0,1.44,6.155,47.8,72.2,36.7,51.0,334.0
388,0,2021-11-20 12,49.75,156.75,981.5,1016.3,34.8,560.0,1.75,6.598,50.7,80.7,41.3,59.4,376.0
386,0,2021-11-20 12,50.25,185.0,990.8,1013.1,22.2,520.0,1.29,4.403,36.7,53.5,39.3,54.6,200.0
