label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum
0,pool_2022110618_50_186,2022-11-06 18,50.5,186.5,998.3,1018.4,20.1,22.0,590.0,1.29,3.728,33.1,45.1,0.0,2022,11,s0100
1,2022202314,2022-12-06 06,35.0,143.5,1004.1,1014.0,9.9,9.4,240.0,0.93,3.905,30.3,63.5,428.0,2022,12,s0101
1,2022202315,2022-12-08 00,37.5,149.0,1006.5,1016.5,10.1,9.9,310.0,0.63,3.197,28.1,49.0,380.0,2022,12,s0102
1,2022202316,2022-12-11 00,30.25,156.0,1001.0,1014.1,13.1,12.6,300.0,1.15,4.214,35.8,78.1,493.0,2022,12,s0103
1,2022202317,2022-12-13 06,37.0,177.25,1000.1,1015.1,15.1,16.5,600.0,1.31,2.753,30.1,42.7,327.0,2022,12,s0104
0,pool_2022121718_40_146,2022-12-17 18,39.5,145.75,995.6,1011.1,15.6,17.7,660.0,1.3,2.687,29.3,39.4,0.0,2022,12,s0104
0,pool_2022121406_39_219,2022-12-14 06,39.0,219.0,1010.3,1026.0,15.8,15.5,470.0,0.6,3.297,31.8,48.9,0.0,2022,12,s0104
0,pool_2022122400_36_188,2022-12-24 00,35.5,188.25,979.6,998.5,18.9,19.3,490.0,1.44,3.944,38.0,63.4,0.0,2022,12,s0104
1,2022202318,2022-12-14 00,51.75,147.75,982.0,1012.4,30.4,36.8,750.0,0.51,4.908,42.8,58.3,550.0,2022,12,s0105
0,pool_2022121000_49_228,2022-12-10 00,48.75,228.25,981.1,1007.3,26.2,30.9,690.0,1.45,4.475,40.1,55.5,0.0,2022,12,s0105
0,pool_2022121012_49_230,2022-12-10 12,49.0,230.5,980.9,1008.5,27.6,34.5,760.0,1.41,4.54,41.3,56.1,0.0,2022,12,s0105
0,pool_2022122118_47_202,2022-12-21 18,47.0,202.5,965.4,995.2,29.8,32.6,570.0,2.01,5.724,46.8,73.0,0.0,2022,12,s0105
1,2022202319,2022-12-17 18,39.5,145.75,995.6,1011.1,15.6,17.7,660.0,1.3,2.687,29.3,39.4,429.0,2022,12,s0106
0,pool_2022122318_43_144,2022-12-23 18,43.0,144.5,979.6,997.7,18.2,25.2,830.0,1.32,3.034,32.3,41.5,0.0,2022,12,s0106
0,pool_2022121706_44_193,2022-12-17 06,44.5,192.75,988.2,1004.5,16.2,22.1,830.0,0.82,2.665,28.5,35.5,0.0,2022,12,s0106
0,pool_2022122418_44_165,2022-12-24 18,43.5,165.25,972.0,990.5,18.5,20.7,590.0,1.21,3.504,33.6,47.5,0.0,2022,12,s0106
1,2022202320,2022-12-23 12,44.5,203.0,980.6,992.3,11.8,13.8,650.0,0.56,2.123,22.6,28.3,542.0,2022,12,s0107
0,pool_2022121712_46_186,2022-12-17 12,46.5,186.5,985.3,1001.7,16.4,29.6,1110.0,0.28,2.667,29.1,34.3,0.0,2022,12,s0107
0,pool_2022122700_44_169,2022-12-27 00,43.5,168.75,971.7,987.0,15.3,17.9,650.0,1.6,2.756,28.4,37.4,0.0,2022,12,s0107
0,pool_2022120406_43_230,2022-12-04 06,43.0,229.5,1005.7,1022.3,16.6,20.3,760.0,0.27,2.667,28.6,36.5,0.0,2022,12,s0107
1,2022202321,2022-12-23 18,35.5,182.5,984.4,999.3,14.9,15.3,480.0,1.16,3.195,32.5,51.4,543.0,2022,12,s0108
0,pool_2022121318_40_219,2022-12-13 18,40.5,219.25,1008.7,1027.5,18.7,18.2,410.0,0.75,4.44,37.5,63.8,0.0,2022,12,s0108
0,pool_2022122206_32_145,2022-12-22 06,32.5,145.25,984.3,1003.8,19.5,20.4,520.0,2.13,3.92,39.8,68.1,0.0,2022,12,s0108
0,pool_2022122318_36_182,2022-12-23 18,35.75,181.75,983.8,999.1,15.3,15.8,490.0,1.19,3.23,32.8,51.6,0.0,2022,12,s0108
1,2022202322,2023-01-02 18,39.25,198.75,1006.5,1005.7,-0.9,-0.8,540.0,0.06,-0.146,nan,nan,545.0,2022,1,s0109
1,2022202323,2023-01-05 00,54.75,172.75,978.3,998.1,19.9,22.4,660.0,1.09,3.397,30.3,38.8,548.0,2022,1,s0110
0,pool_2023010612_52_169,2023-01-06 12,51.75,169.25,973.8,993.0,19.2,22.9,660.0,1.62,3.463,31.6,41.2,0.0,2022,1,s0110
