label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum,tend12,tend24,back_path_km
1,2021202213,2021-12-08 12,47.0,170.5,993.1,1017.6,24.5,24.3,410.0,1.13,5.921,43.7,75.6,538.0,2021,12,t0056,-7.5,-13.1,1806.0
0,pool_2021120400_46_154,2021-12-04 00,46.5,153.75,997.8,1014.9,17.1,21.0,750.0,0.72,2.802,28.6,36.1,0.0,2021,12,t0056,-4.8,,1085.0
0,pool_2021120806_44_165,2021-12-08 06,43.75,164.75,995.5,1020.2,24.8,24.4,410.0,0.99,5.953,44.9,80.3,0.0,2021,12,t0056,-6.8,,834.0
0,pool_2021120800_42_160,2021-12-08 00,42.0,160.5,1000.6,1022.0,21.4,21.0,410.0,1.18,5.12,40.9,71.4,0.0,2021,12,t0056,-5.6,,835.0
1,2021202214,2021-12-12 00,46.75,160.25,979.7,1007.9,28.2,31.7,610.0,1.39,5.193,44.4,66.5,537.0,2021,12,t0057,-8.3,-16.7,593.0
0,pool_2021121306_48_148,2021-12-13 06,47.75,148.5,972.4,998.4,26.0,29.6,630.0,2.12,4.7,41.1,59.3,0.0,2021,12,t0057,-11.3,,516.0
0,pool_2021121812_52_230,2021-12-18 12,51.5,230.5,999.5,1020.6,21.1,22.3,550.0,1.23,4.052,34.5,48.3,0.0,2021,12,t0057,-5.9,,635.0
0,pool_2021122512_50_150,2021-12-25 12,49.75,149.75,983.4,1010.2,26.7,28.7,560.0,1.71,5.13,42.1,62.7,0.0,2021,12,t0057,-7.1,,206.0
1,2021202216,2021-12-16 18,41.5,141.75,1005.0,1012.7,7.7,10.0,790.0,0.31,1.264,15.5,17.8,538.0,2021,12,t0059,1.8,13.4,1929.0
0,pool_2021122112_41_224,2021-12-21 12,40.75,224.25,995.8,1017.7,21.8,22.6,500.0,1.54,4.51,40.0,64.5,0.0,2021,12,t0059,0.4,,234.0
1,2021202217,2021-12-21 06,46.25,176.25,988.9,1015.6,26.7,30.0,650.0,1.0,4.62,41.4,59.7,536.0,2021,12,t0060,-5.7,-13.9,1862.0
0,pool_2021122106_41_225,2021-12-21 06,41.25,225.25,994.2,1019.0,24.8,25.5,500.0,1.83,5.094,43.5,72.1,0.0,2021,12,t0060,-4.8,,281.0
0,pool_2021122018_42_228,2021-12-20 18,41.75,228.25,999.0,1018.7,19.7,21.4,570.0,1.57,3.761,35.8,52.7,0.0,2021,12,t0060,-4.9,,256.0
0,pool_2021122518_49_150,2021-12-25 18,49.25,149.5,979.2,1006.3,27.1,30.2,600.0,1.5,5.035,42.3,62.0,0.0,2021,12,t0060,-7.5,,152.0
1,2021202218,2021-12-24 06,35.25,172.75,992.6,1005.8,13.2,15.7,680.0,0.57,2.306,27.6,37.3,543.0,2021,12,t0061,-3.1,-10.0,944.0
0,pool_2021120918_35_151,2021-12-09 18,34.75,151.25,1005.7,1020.9,15.2,15.9,580.0,0.53,2.739,30.7,44.9,0.0,2021,12,t0061,-0.5,,210.0
0,pool_2021121006_36_154,2021-12-10 06,36.25,154.0,1003.7,1019.2,15.5,17.8,700.0,0.38,2.545,29.6,40.2,0.0,2021,12,t0061,-2.0,,307.0
0,pool_2021120718_37_153,2021-12-07 18,37.0,153.25,1001.8,1019.3,17.5,18.5,560.0,1.09,3.304,34.1,51.2,0.0,2021,12,t0061,-5.4,,924.0
1,2021202219,2021-12-25 06,41.5,154.5,994.5,1005.3,10.9,11.1,290.0,1.17,3.816,30.1,53.7,350.0,2021,12,t0062,-12.9,-19.2,1547.0
0,pool_2021122518_40_160,2021-12-25 18,39.5,160.5,982.7,1001.3,18.5,17.9,330.0,1.3,5.411,40.5,79.4,0.0,2021,12,t0062,-11.8,,885.0
0,pool_2021122512_37_154,2021-12-25 12,36.75,154.25,989.9,1008.0,18.1,17.8,430.0,1.4,4.138,37.4,64.5,0.0,2021,12,t0062,-13.1,,1081.0
1,2021202221,2021-12-31 06,45.0,158.5,994.9,1005.0,10.1,19.9,1200.0,2.02,1.66,19.6,21.9,538.0,2021,1,t0064,8.0,-3.3,1968.0
0,pool_2022011512_42_206,2022-01-15 12,41.5,206.25,996.0,1013.7,17.7,19.5,630.0,0.56,3.089,31.6,43.5,0.0,2021,1,t0064,6.3,,497.0
0,pool_2022012100_41_190,2022-01-21 00,41.25,190.25,966.5,988.9,22.4,27.3,720.0,0.97,3.793,38.3,53.7,0.0,2021,1,t0064,5.3,,614.0
0,pool_2022011418_48_156,2022-01-14 18,48.0,155.5,983.7,998.8,15.1,22.5,900.0,1.0,2.501,26.3,31.4,0.0,2021,1,t0064,5.4,,703.0
1,2021202222,2021-12-31 18,58.75,212.25,993.7,1011.4,17.7,28.2,960.0,1.18,2.935,27.5,32.0,148.0,2021,1,t0065,-4.9,8.8,2133.0
0,pool_2022012718_54_208,2022-01-27 18,54.0,208.25,984.9,1012.1,27.2,30.8,660.0,1.15,4.664,39.3,53.8,0.0,2021,1,t0065,-2.7,,153.0
1,2021202223,2022-01-04 06,42.5,180.75,981.2,999.2,18.0,22.7,750.0,1.04,3.026,31.8,41.8,550.0,2021,1,t0066,3.1,-2.0,589.0
0,pool_2022011418_38_198,2022-01-14 18,38.5,197.75,988.5,1008.9,20.4,22.6,640.0,0.73,3.529,36.4,52.9,0.0,2021,1,t0066,3.3,,605.0
0,pool_2022011218_46_224,2022-01-12 18,45.75,224.25,997.6,1015.3,17.7,17.5,420.0,0.7,4.155,34.5,54.1,0.0,2021,1,t0066,1.6,,615.0
0,pool_2022010212_39_186,2022-01-02 12,38.75,186.0,989.7,1006.9,17.2,17.6,470.0,1.44,3.754,35.1,56.0,0.0,2021,1,t0066,0.2,,618.0
1,2021202224,2022-01-07 06,45.25,193.25,979.0,994.5,15.5,18.8,660.0,1.44,2.841,28.6,37.3,550.0,2021,1,t0067,7.0,3.9,1298.0
