label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum
1,2022202339,2023-03-18 18,39.75,150.75,999.5,1014.4,14.9,15.3,510.0,0.67,3.004,30.0,43.9,539.0,2022,3,
1,2022202340,2023-03-26 06,34.0,138.0,1006.2,1015.8,9.6,10.4,570.0,0.53,1.818,22.4,30.3,546.0,2022,3,
1,2022202341,2023-05-23 06,31.5,141.25,992.8,1007.2,14.4,14.6,450.0,1.34,3.248,33.8,58.0,408.0,2022,5,
1,2023202401,2023-08-30 00,42.0,173.5,985.0,1009.2,24.2,24.8,470.0,2.19,5.278,43.5,73.6,477.0,2023,8,
1,2023202402,2023-09-15 12,49.0,169.0,992.2,1010.7,18.4,17.9,410.0,1.25,4.374,34.7,54.1,545.0,2023,9,
1,2023202403,2023-09-27 18,37.5,162.0,998.5,1014.2,15.7,15.2,320.0,1.31,4.738,37.2,72.6,485.0,2023,9,
1,2023202404,2023-10-10 06,39.0,147.75,999.4,1015.2,15.8,16.5,540.0,0.9,3.056,31.1,45.3,481.0,2023,10,
1,2023202405,2023-10-13 12,29.25,150.75,953.8,1009.3,55.6,52.7,220.0,4.36,23.943,89.1,457.3,481.0,2023,10,
1,2023202406,2023-10-14 18,33.0,136.25,1001.3,1010.4,9.1,8.5,260.0,0.82,3.26,28.1,55.9,356.0,2023,10,
1,2023202407,2023-11-08 00,55.5,201.5,972.1,1001.0,28.9,34.9,720.0,1.35,4.847,40.9,54.9,544.0,2023,11,
1,2023202408,2023-11-18 06,48.75,143.5,972.8,1001.6,28.7,30.2,510.0,2.67,5.918,46.0,73.5,548.0,2023,11,
1,2023202409,2023-11-18 18,39.5,200.75,994.4,1017.2,22.8,23.8,530.0,1.34,4.486,41.0,65.8,254.0,2023,11,
1,2023202410,2023-11-20 06,54.0,168.0,949.5,988.0,38.5,49.6,780.0,0.87,6.353,52.0,73.3,549.0,2023,11,
1,2023202411,2023-11-28 18,44.5,156.5,984.5,1004.6,20.1,23.7,680.0,1.22,3.492,34.2,46.5,431.0,2023,11,
1,2023202412,2023-12-01 06,42.0,171.75,995.1,1006.0,10.9,10.5,290.0,0.71,3.622,29.0,50.5,537.0,2023,12,
